"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-01","4.25",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","47","H,,S","56",",,W","37",",,W","  210",",,W","  210",",,W",,,"16.1",",,W","19.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-02","7.83",",,W","0.35",",,W,2400","0.0",",,W,2400","0",",,W,2400","44","H,,S","46",",,W","41",",,W","   30",",,W","   40",",,W",,,"14.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-03","5.82",",,W","0.86",",,W,2400","0.0",",,W,2400","0",",,W,2400","44","H,,S","46",",,W","43",",,W","   40",",,W","   40",",,W",,,"13.0",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-04","9.84",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","48","H,,S","57",",,W","35",",,W","  290",",,W","  290",",,W",,,"23.9",",,W","32.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-05","6.49",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0",",,W,2400","35","H,,S","37",",,W","30",",,W","  330",",,W","  220",",,W",,,"13.0",",,W","19.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-06","12.30",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0",",,W,2400","33","H,,S","35",",,W","27",",,W","  330",",,W","  330",",,W",,,"19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-07","14.76",",,W","0.01",",,W,2400","0.4",",,W,2400","0",",,W,2400","25","H,,S","27",",,W","19",",,W","  330",",,W","  320",",,W",,,"23.0",",,W","30.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-08","14.32",",,W","0.00",",,W,2400","0.0",",,W,2400","0","T,,W,2400","20","H,,S","25",",,W","15",",,W","  320",",,W","  340",",,W",,,"29.1",",,W","38.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-09","8.50",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","21","H,,S","29",",,W","16",",,W","  200",",,W","  190",",,W",,,"17.0",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-10","12.08",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","27","H,,S","41",",,W","22",",,W","  180",",,W","  190",",,W",,,"28.0",",,W","33.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-11","9.40",",,W","0.07",",,W,2400","0.0",",,W,2400","0",",,W,2400","44","H,,S","57",",,W","35",",,W","  190",",,W","  190",",,W",,,"23.0",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-12","18.57",",,W","0.02",",,W,2400","0.0",",,W,2400","0",",,W,2400","57","H,,S","72",",,W","51",",,W","  210",",,W","  210",",,W",,,"30.0",",,W","36.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-13","12.53",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","56","H,,S","65",",,W","43",",,W","  340",",,W","  320",",,W",,,"23.0",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-14","4.92",",,W","0.29",",,W,2400","0.0","T,,W,2400","0",",,W,2400","39","H,,S","43",",,W","34",",,W","   30",",,W","   30",",,W",,,"13.0",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-15","5.82",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","40","H,,S","49",",,W","36",",,W","  360",",,W","   20",",,W",,,"14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-16","5.59",",,W","0.01",",,W,2400","0.0",",,W,2400","0",",,W,2400","41","H,,S","46",",,W","38",",,W","  190",",,W","  190",",,W",,,"13.0",",,W","14.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-17","4.92",",,W","0.21",",,W,2400","0.0",",,W,2400","0",",,W,2400","44","H,,S","53",",,W","41",",,W","  210",",,W","  230",",,W",,,"14.1",",,W","17.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-18","11.18",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","51","H,,S","60",",,W","44",",,W","  330",",,W","  330",",,W",,,"25.1",",,W","31.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-19","6.26",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","48","H,,S","53",",,W","40",",,W","  340",",,W","  320",",,W",,,"13.0",",,W","16.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-20","3.58",",,W","0.01",",,W,2400","0.0",",,W,2400","0",",,W,2400","44","H,,S","49",",,W","39",",,W","  180",",,W","  180",",,W",,,"12.1",",,W","14.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-21","5.14",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","48","H,,S","50",",,W","47",",,W","  180",",,W","  180",",,W",,,"8.9",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-22","8.50",",,W","0.15",",,W,2400","0.0",",,W,2400","0",",,W,2400","49","H,,S","52",",,W","46",",,W","   50",",,W","   50",",,W",,,"16.1",",,W","18.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-23","21.92",",,W","0.67",",,W,2400","0.0",",,W,2400","0",",,W,2400","47","H,,S","50",",,W","39",",,W","   60",",,W","   50",",,W",,,"36.9",",,W","47.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-24","15.21",",,W","0.03",",,W,2400","0.0",",,W,2400","0",",,W,2400","42","H,,S","49",",,W","38",",,W","  320",",,W","  310",",,W",,,"30.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-25","6.04",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","51","H,,S","61",",,W","45",",,W","  310",",,W","  310",",,W",,,"21.0",",,W","33.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-26","11.63",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","52","H,,S","61",",,W","43",",,W","  290",",,W","  310",",,W",,,"32.0",",,W","45.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-27","14.32",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","43","H,,S","45",",,W","38",",,W","  270",",,W","  270",",,W",,,"25.9",",,W","34.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-28","8.05",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","40","H,,S","49",",,W","33",",,W","  270",",,W","  320",",,W",,,"17.0",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-29","6.93",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","41","H,,S","47",",,W","35",",,W","  220",",,W","  220",",,W",,,"16.1",",,W","19.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-30","10.07",",,W","0.07",",,W,2400","1.0",",,W,2400","1",",,W,2400","36","H,,S","39",",,W","30",",,W","  310",",,W","  320",",,W",,,"25.9",",,W","33.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-31","8.72",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0",",,W,2400","39","H,,S","56",",,W","28",",,W","  200",",,W","  210",",,W",,,"19.9",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-01","5.37",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","43","H,,S","51",",,W","34",",,W","  350",",,W","  340",",,W",,,"14.1",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-02","8.05",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","46","H,,S","50",",,W","36",",,W","  340",",,W","  330",",,W",,,"23.0",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-03","10.96",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","37","H,,S","40",",,W","30",",,W","  310",",,W","  310",",,W",,,"25.9",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-04","9.84",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","32","H,,S","41",",,W","24",",,W","  340",",,W","  340",",,W",,,"23.9",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-05","9.62",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","40","H,,S","54",",,W","32",",,W","  230",",,W","  180",",,W",,,"17.0",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-06","7.61",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","45","H,,S","61",",,W","33",",,W","  170",",,W","  190",",,W",,,"14.1",",,W","16.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-07","13.20",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","56","H,,S","73",",,W","48",",,W","  200",",,W","  200",",,W",,,"21.9",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-08","9.84",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","63","H,,S","74",",,W","51",",,W","  300",",,W","  330",",,W",,,"18.1",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-09","20.80",",,W","0.12",",,W,2400","0.0","T,,W,2400","0",",,W,2400","43","H,,S","53",",,W","25",",,W","  320",",,W","  330",",,W",,,"36.0",",,W","49.0",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-10","11.41",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","30","H,,S","39",",,W","23",",,W","  310",",,W","  290",",,W",,,"23.0",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-11","5.14",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","42","H,,S","53",",,W","34",",,W","  190",",,W","  210",",,W",,,"14.1",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-12","9.40",",,W","0.03",",,W,2400","0.0",",,W,2400","0",",,W,2400","48","H,,S","55",",,W","45",",,W","  320",",,W","  320",",,W",,,"52.1",",,W","66.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-13","18.57",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","45","H,,S","47",",,W","35",",,W","  330",",,W","  310",",,W",,,"36.9",",,W","49.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-14","6.93",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","38","H,,S","46",",,W","30",",,W","  210",",,W","  220",",,W",,,"21.9",",,W","27.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-15","10.51",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","43","H,,S","55",",,W","37",",,W","  310",",,W","  310",",,W",,,"33.1",",,W","45.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-16","13.42",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0",",,W,2400","37","H,,S","42",",,W","32",",,W","  330",",,W","  320",",,W",,,"30.0",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-17","4.03",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","37","H,,S","51",",,W","28",",,W","  110",",,W","  340",",,W",,,"10.1",",,W","13.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-18","6.71",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","45","H,,S","68",",,W","33",",,W","  190",",,W","  210",",,W",,,"16.1",",,W","19.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-19","9.17",",,W","0.01",",,W,2400","0.0",",,W,2400","0",",,W,2400","61","H,,S","71",",,W","49",",,W","  320",",,W","  320",",,W",,,"18.1",",,W","25.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-20","6.93",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","58","H,,S","68",",,W","43",",,W","  340",",,W","  340",",,W",,,"19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-21","6.93",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","50","H,,S","58",",,W","41",",,W","  190",",,W","  190",",,W",,,"15.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-22","6.71",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","51","H,,S","63",",,W","46",",,W","  180",",,W","  180",",,W",,,"16.1",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-23","10.29",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","60","H,,S","75",",,W","53",",,W","  180",",,W","  170",",,W",,,"17.0",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-24","10.51",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","64","H,,S","77",",,W","54",",,W","  190",",,W","  190",",,W",,,"19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-25","14.54",",,W","0.18",",,W,2400","0.0",",,W,2400","0",",,W,2400","63","H,,S","75",",,W","44",",,W","  250",",,W","  230",",,W",,,"32.0",",,W","46.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-26","11.18",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","44","H,,S","50",",,W","35",",,W","  300",",,W","  330",",,W",,,"23.0",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-27","6.49",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","45","H,,S","55",",,W","36",",,W","  200",",,W","  200",",,W",,,"15.0",",,W","21.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02-28","4.92",",,W","0.34",",,W,2400","0.0",",,W,2400","0",",,W,2400","55","H,,S","68",",,W","47",",,W","  150",",,W","  210",",,W",,,"12.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-01","17.22",",,W","0.02",",,W,2400","0.0",",,W,2400","0",",,W,2400","63","H,,S","80",",,W","56",",,W","  270",",,W","  280",",,W",,,"38.9",",,W","53.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-02","17.90",",,W","0.01",",,W,2400","0.0",",,W,2400","0",",,W,2400","54","H,,S","63",",,W","40",",,W","  310",",,W","  310",",,W",,,"36.0",",,W","49.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-03","14.54",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0",",,W,2400","40","H,,S","44",",,W","31",",,W","  290",",,W","  310",",,W",,,"29.1",",,W","40.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-04","12.30",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","35","H,,S","44",",,W","26",",,W","  330",",,W","  320",",,W",,,"23.9",",,W","31.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-05","7.61",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","32","H,,S","40",",,W","23",",,W","   10",",,W","   40",",,W",,,"17.0",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-06","6.26",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","41","H,,S","54",",,W","33",",,W","  200",",,W","  210",",,W",,,"13.0",",,W","15.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-07","10.29",",,W","0.07",",,W,2400","0.0",",,W,2400","0",",,W,2400","56","H,,S","71",",,W","47",",,W","  200",",,W","  190",",,W",,,"28.0",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-08","12.53",",,W","0.01",",,W,2400","0.0",",,W,2400","0",",,W,2400","59","H,,S","68",",,W","50",",,W","  300",",,W","  290",",,W",,,"33.1",",,W","44.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-09","9.17",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","60","H,,S","74",",,W","47",",,W","  240",",,W","  250",",,W",,,"21.9",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-10","15.66",",,W","0.09",",,W,2400","0.0","T,,W,2400","0",",,W,2400","49","H,,S","60",",,W","31",",,W","  310",",,W","  310",",,W",,,"30.0",",,W","38.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-11","14.54",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","33","H,,S","40",",,W","26",",,W","  320",",,W","  320",",,W",,,"25.1",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-12","11.18",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","33","H,,S","43",",,W","27",",,W","  340",",,W","  320",",,W",,,"21.0",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-13","9.84",",,W","0.34",",,W,2400","1.1",",,W,2400","0",",,W,2400","35","H,,S","46",",,W","28",",,W","   60",",,W","   40",",,W",,,"19.9",",,W","21.9",",,W","    1",",,W",,,,,"    1",",,W","    1",",,W","    1",",,W",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-14","21.25",",,W","0.89",",,W,2400","0.9",",,W,2400","2",",,W,2400","34","H,,S","39",",,W","26",",,W","  300",",,W","  300",",,W",,,"32.0",",,W","44.1",",,W","    1",",,W",,,,,"    1",",,W","    1",",,W",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-15","18.34",",,W","0.00",",,W,2400","0.0",",,W,2400","1",",,W,2400","27","H,,S","33",",,W","22",",,W","  280",",,W","  300",",,W",,,"35.1",",,W","47.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-16","11.18",",,W","0.00",",,W,2400","0.0",",,W,2400","1",",,W,2400","33","H,,S","42",",,W","24",",,W","  290",",,W","  270",",,W",,,"25.1",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-17","6.04",",,W","0.01",",,W,2400","0.0",",,W,2400","0","T,,W,2400","40","H,,S","52",",,W","29",",,W","  200",",,W","  230",",,W",,,"23.9",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-18","7.38",",,W","0.37",",,W,2400","0.0",",,W,2400","0",",,W,2400","46","H,,S","59",",,W","40",",,W","   70",",,W","   50",",,W",,,"19.9",",,W","23.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-19","14.32",",,W","0.26",",,W,2400","0.0","T,,W,2400","0",",,W,2400","44","H,,S","54",",,W","36",",,W","  350",",,W","  350",",,W",,,"21.9",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-20","6.71",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","46","H,,S","54",",,W","37",",,W","  320",",,W","  320",",,W",,,"15.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-21","6.71",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","52","H,,S","63",",,W","46",",,W","  350",",,W","  350",",,W",,,"16.1",",,W","19.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-22","16.55",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","51","H,,S","59",",,W","37",",,W","  330",",,W","  340",",,W",,,"31.1",",,W","38.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-23","7.61",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","38","H,,S","48",",,W","30",",,W","   10",",,W","   10",",,W",,,"16.1",",,W","19.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-24","13.20",",,W","0.13",",,W,2400","0.0",",,W,2400","0",",,W,2400","45","H,,S","62",",,W","36",",,W","  200",",,W","  200",",,W",,,"23.0",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-25","8.50",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","63","H,,S","78",",,W","54",",,W","   70",",,W","   60",",,W",,,"21.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-26","11.41",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","53","H,,S","56",",,W","47",",,W","   60",",,W","   70",",,W",,,"19.9",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-27","4.70",",,W","0.01",",,W,2400","0.0",",,W,2400","0",",,W,2400","54","H,,S","76",",,W","46",",,W","  110",",,W","  110",",,W",,,"14.1",",,W","16.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-28","8.05",",,W","0.02",",,W,2400","0.0",",,W,2400","0",",,W,2400","65","H,,S","74",",,W","57",",,W","  300",",,W","  310",",,W",,,"21.9",",,W","27.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-29","10.96",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400","62","H,,S","67",",,W","52",",,W","   30",",,W","  340",",,W",,,"19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-30","9.17",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400","52","H,,S","55",",,W","46",",,W","  160",",,W","  170",",,W",,,"15.0",",,W","19.9",",,W",,,,,,,,,,,"    1",",,W",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03-31","9.17",",,W","0.96",",,W,2400","0.0",",,W,2400","0",",,W,2400","49","H,,S","54",",,W","45",",,W","  330",",,W","  330",",,W",,,"17.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,
